user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
What is the maximum candidacy period for a full-time PhD student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","The maximum candidacy period for a full-time PhD student is 96 months [1, Page: 12].",96 months.,0.9999999999,1.0,1.0,0.9999999999999994
What is the maximum candidacy period for a part-time PhD student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","The maximum candidacy period for a part-time PhD student is 120 months, as stated in Source [1], Page: 12.",120 months.,0.9999999999,1.0,0.3333333333333333,0.9999999999999996
What is the maximum candidacy period for a full-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","The maximum candidacy period for a full-time Master by Research student is 48 months [1, Page: 12].",48 months.,0.9999999999,1.0,0.5,0.9999999999999393
What is the maximum candidacy period for a part-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","According to Source [1], Page: 12, the maximum candidacy period for a part-time Master (By Research) student is 120 months.",72 months.,0.9999999999,1.0,0.3333333333333333,0.992675317930114
What is the maximum candidacy period for a Master by Coursework student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","According to Source [1], Page: 12, the maximum candidacy period for a Master by Coursework student is:

* For Conventional & ODL programmes: Max: 36 months
* For MBA in Energy Management (Coursework): Max: 36 months

Note that these durations apply to both full-time and part-time students.",36 months.,0.9999999999,1.0,0.75,0.9999999999999999
What is the 'Graduate On Time' (GOT) period for a full-time PhD?,"['the exam until he/she achieves the passing grade before graduation. \n \nCourse Re-sit \nA student with an incomplete grade (with indicator “I”) will be given an opportunity to re-sit the final \nexamination. \n \nViva Voce Examination \nViva voce is an oral examination where the postgraduate student presents and defends their research \nthesis to selected examiners that is comprised of internal examiner, external examiner and chairman. \n \nCompletion of Study \nStudent must fulfil all graduation requirements as specified by the programme and approved by the \nSenate for completion of study. \n \nGraduate On-Time (GOT) \nGraduate On-Time (GOT) is based on a fixed period which starts from date of admission until the date \nof Senate approval. The duration for Graduate On-Time (GOT) is based on the MyRA definition; PhD is \n42 months and Master is 24 months. \n \nPostgraduate Financial Assistance Committee (PGFAC) \nPGFAC was established for the purpose to deliberate and approve financial assistance awarded to \nstudent sponsored by the university. \n \nIntellectual Property (IP) \nInclude any invention, know-how, industrial design, layout design of integrated circuits, copyright and']","The Graduate On-Time (GOT) period for a full-time PhD is 42 months. [1, Page: 10]",42 months.,0.9999999999,1.0,1.0,0.8545213802290488
What is the 'Graduate On Time' (GOT) period for a full-time Master by Research?,"['the exam until he/she achieves the passing grade before graduation. \n \nCourse Re-sit \nA student with an incomplete grade (with indicator “I”) will be given an opportunity to re-sit the final \nexamination. \n \nViva Voce Examination \nViva voce is an oral examination where the postgraduate student presents and defends their research \nthesis to selected examiners that is comprised of internal examiner, external examiner and chairman. \n \nCompletion of Study \nStudent must fulfil all graduation requirements as specified by the programme and approved by the \nSenate for completion of study. \n \nGraduate On-Time (GOT) \nGraduate On-Time (GOT) is based on a fixed period which starts from date of admission until the date \nof Senate approval. The duration for Graduate On-Time (GOT) is based on the MyRA definition; PhD is \n42 months and Master is 24 months. \n \nPostgraduate Financial Assistance Committee (PGFAC) \nPGFAC was established for the purpose to deliberate and approve financial assistance awarded to \nstudent sponsored by the university. \n \nIntellectual Property (IP) \nInclude any invention, know-how, industrial design, layout design of integrated circuits, copyright and']","The Graduate On-Time (GOT) period for a full-time Master by Research is 24 months. [1, Page: 10]",24 months.,0.9999999999,1.0,1.0,0.8639238435670676
Is a deferred semester (without medical reason) counted as part of the candidacy period?,['Scenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031. \nCandidacy Due Date (New): 31 December 2031 \n(maintained). The intercalated semester will be \ncounted as part of candidacy. \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031. \nCandidacy Due Date (New): 30 June 2032. The \nintercalated semester will not be counted as \npart of candidacy'],"According to Source [1], Page: 12, for Scenario 1: Student deferred (without medical certificate) for one (1) semester, it is stated that ""The intercalated semester will be counted as part of candidacy."" Therefore:

• Yes, a deferred semester (without medical reason) is counted as part of the candidacy period.","Yes, Deferment without medical reason will be considered as part of the period of study.",0.9999999999,0.4,1.0,0.9999999999999115
Is a deferred semester (with medical reason) counted as part of the candidacy period?,['Scenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031. \nCandidacy Due Date (New): 31 December 2031 \n(maintained). The intercalated semester will be \ncounted as part of candidacy. \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031. \nCandidacy Due Date (New): 30 June 2032. The \nintercalated semester will not be counted as \npart of candidacy'],"According to Scenario 2, if a student is deferred with a medical certificate for one semester, the intercalated semester will not be counted as part of candidacy [1, Page: 12].","No, Deferment with medical reason will not be considered as part of the period of study.",0.9999999999,1.0,0.6666666666666666,0.5869614678930951
What is the publication requirement for a PhD student to graduate?,"['16 \n \n3.0 \nACADEMIC GRADUATION \n \n3.1 \nList of Graduation Requirements \nBy Research \nBy Coursework \nMaster \nPhD \ni. Pass Research \nMethodology Course. \nii. Publication:  \nOne (1) article accepted \nin journals indexed by \nScopus or Web of Science \n(WoS) \niii. Pass viva voce. \niv. Submit final hardbound \nthesis. \nv. Approval by Senate. \ni. Pass Research Methodology \nCourse. \nii. Publications: \n• \nOne (1) article \naccepted/published in \nQ1/Q2 journal indexed by \nWeb of Science (WoS) \nOR; \n• \nTwo (2) articles \naccepted/published in \njournals indexed by \n(WoS)/ERA or Scopus. \niii. Pass viva voce. \niv. Submit final hardbound \nthesis. \nv. Approval by Senate. \ni. \nPass with minimum of \nB grade Research \nMethodology Course. \nii. \nCompleted all the \nrequired credit hours  \niii. \nObtain CGPA 3.00 and \nabove \niv. \nMinimum grade \nallowed is D for all \nmodules, provide that \n(i), (iii) and (v) are met. \nv. \nPass with minimum of \nB grade for the \ndissertation/industrial-\nbased \nproject/Capstone \nProject. \nvi. \nApproval by Senate \n \n3.2 \nStudent Clearance \nA student who has been approved for graduation is required to submit the completed Clearance Form']","According to Source [1], Page 21, the publication requirement for a PhD student to graduate is:

* One (1) article accepted/published in journals indexed by Web of Science (WoS) OR;
* Two (2) articles accepted/published in journals indexed by WoS/ERA or Scopus.",One (1) article accepted/published in Q1/Q2 journal indexed by Web of Science (WoS) OR; Two (2) articles accepted/published in journals indexed by (WoS)/ERA or Scopus.,0.9999999999,1.0,1.0,0.976469601248518
